#    L    TT             EE             BB             TE             PP             TP             EP          
   154   0.465157E+04   0.100336E+01   0.000000E+00  -0.441502E+02   0.409841E-07   0.726264E-03  -0.699303E-06
   155   0.467832E+04   0.996912E+00   0.000000E+00  -0.440707E+02   0.407629E-07   0.717700E-03  -0.696355E-06
   156   0.470480E+04   0.990112E+00   0.000000E+00  -0.439670E+02   0.405429E-07   0.709302E-03  -0.693934E-06
   157   0.473130E+04   0.982960E+00   0.000000E+00  -0.438379E+02   0.403243E-07   0.701067E-03  -0.691968E-06
   158   0.475759E+04   0.975532E+00   0.000000E+00  -0.436840E+02   0.401071E-07   0.692992E-03  -0.690388E-06
   159   0.478368E+04   0.967677E+00   0.000000E+00  -0.435052E+02   0.398913E-07   0.685072E-03  -0.689123E-06
   160   0.480963E+04   0.959544E+00   0.000000E+00  -0.433002E+02   0.396769E-07   0.677305E-03  -0.688103E-06
   161   0.483544E+04   0.951208E+00   0.000000E+00  -0.430704E+02   0.394639E-07   0.669688E-03  -0.687257E-06
   162   0.486103E+04   0.942519E+00   0.000000E+00  -0.428157E+02   0.392523E-07   0.662216E-03  -0.686516E-06
   163   0.488655E+04   0.933551E+00   0.000000E+00  -0.425347E+02   0.390422E-07   0.654886E-03  -0.685809E-06
   164   0.491170E+04   0.924378E+00   0.000000E+00  -0.422289E+02   0.388335E-07   0.647695E-03  -0.685065E-06
   165   0.493677E+04   0.914926E+00   0.000000E+00  -0.418960E+02   0.386263E-07   0.640640E-03  -0.684215E-06
   166   0.496161E+04   0.905342E+00   0.000000E+00  -0.415375E+02   0.384206E-07   0.633717E-03  -0.683188E-06
   167   0.498629E+04   0.895404E+00   0.000000E+00  -0.411542E+02   0.382164E-07   0.626922E-03  -0.681914E-06
   168   0.501059E+04   0.885483E+00   0.000000E+00  -0.407438E+02   0.380138E-07   0.620253E-03  -0.680322E-06
   169   0.503465E+04   0.875282E+00   0.000000E+00  -0.403062E+02   0.378127E-07   0.613706E-03  -0.678344E-06
   170   0.505846E+04   0.865022E+00   0.000000E+00  -0.398431E+02   0.376131E-07   0.607277E-03  -0.675908E-06
   171   0.508188E+04   0.854704E+00   0.000000E+00  -0.393521E+02   0.374151E-07   0.600962E-03  -0.672945E-06
   172   0.510498E+04   0.844252E+00   0.000000E+00  -0.388347E+02   0.372187E-07   0.594760E-03  -0.669384E-06
   173   0.512767E+04   0.833668E+00   0.000000E+00  -0.382909E+02   0.370240E-07   0.588665E-03  -0.665155E-06
   174   0.515012E+04   0.823246E+00   0.000000E+00  -0.377207E+02   0.368308E-07   0.582675E-03  -0.660188E-06
   175   0.517222E+04   0.812691E+00   0.000000E+00  -0.371234E+02   0.366393E-07   0.576787E-03  -0.654413E-06
   176   0.519385E+04   0.802224E+00   0.000000E+00  -0.364990E+02   0.364494E-07   0.570997E-03  -0.647778E-06
   177   0.521514E+04   0.791771E+00   0.000000E+00  -0.358489E+02   0.362612E-07   0.565302E-03  -0.640304E-06
   178   0.523602E+04   0.781553E+00   0.000000E+00  -0.351717E+02   0.360746E-07   0.559702E-03  -0.632030E-06
