#           k/h    P           
 0.41157857E-01 0.57292666E+04
 0.41989300E-01 0.56153813E+04
 0.42837542E-01 0.55062134E+04
 0.43702915E-01 0.54016890E+04
 0.44585772E-01 0.53017354E+04
 0.45486465E-01 0.52062812E+04
 0.46405349E-01 0.51152261E+04
 0.47342800E-01 0.50284307E+04
 0.48299186E-01 0.49457622E+04
 0.49274895E-01 0.48670947E+04
 0.50270312E-01 0.47922437E+04
 0.51285837E-01 0.47208120E+04
 0.52321881E-01 0.46523740E+04
 0.53378850E-01 0.45865293E+04
 0.54457176E-01 0.45228608E+04
 0.55557281E-01 0.44608394E+04
 0.56679614E-01 0.43999351E+04
 0.57824615E-01 0.43396445E+04
 0.58992747E-01 0.42794458E+04
 0.60184479E-01 0.42187749E+04
 0.61400317E-01 0.41570962E+04
 0.62640682E-01 0.40938281E+04
 0.63906111E-01 0.40279849E+04
 0.65197095E-01 0.39584985E+04
 0.66514164E-01 0.38844802E+04
 0.67857832E-01 0.38061663E+04
 0.69228657E-01 0.37244805E+04
 0.70627168E-01 0.36402041E+04
 0.72053924E-01 0.35526016E+04
 0.73509507E-01 0.34600002E+04
 0.74994497E-01 0.33611958E+04
 0.76509491E-01 0.32573105E+04
 0.78055084E-01 0.31504329E+04
 0.79631895E-01 0.30422485E+04
 0.81240565E-01 0.29335649E+04
 0.82881734E-01 0.28249905E+04
 0.84556051E-01 0.27173958E+04
 0.86264193E-01 0.26118545E+04
 0.88006847E-01 0.25093689E+04
 0.89784704E-01 0.24110051E+04
 0.91598473E-01 0.23176970E+04
 0.93448877E-01 0.22302683E+04
 0.95336676E-01 0.21495188E+04
 0.97262599E-01 0.20761201E+04
 0.99227436E-01 0.20103610E+04
 0.10123201E+00 0.19521761E+04
 0.10327702E+00 0.19013904E+04
 0.10536335E+00 0.18571986E+04
 0.10749183E+00 0.18186350E+04
 0.10966332E+00 0.17845397E+04
 0.11187866E+00 0.17534708E+04
 0.11413875E+00 0.17240256E+04
 0.11644451E+00 0.16947532E+04
 0.11879683E+00 0.16642802E+04
 0.12119669E+00 0.16314132E+04
 0.12364503E+00 0.15951219E+04
 0.12614281E+00 0.15547355E+04
 0.12869108E+00 0.15098756E+04
 0.13129081E+00 0.14606094E+04
 0.13394305E+00 0.14073518E+04
 0.13664888E+00 0.13509279E+04
 0.13940936E+00 0.12924281E+04
 0.14222562E+00 0.12332936E+04
 0.14509876E+00 0.11750787E+04
 0.14802995E+00 0.11195021E+04
 0.15102035E+00 0.10680928E+04
 0.15407117E+00 0.10220641E+04
 0.15718360E+00 0.98203662E+03
 0.16035892E+00 0.94803162E+03
 0.16359837E+00 0.91946234E+03
 0.16690327E+00 0.89541620E+03
 0.17027503E+00 0.87474072E+03
 0.17371480E+00 0.85613403E+03
 0.17722408E+00 0.83815900E+03
 0.18080424E+00 0.81924634E+03
 0.18445672E+00 0.79800891E+03
 0.18818299E+00 0.77355170E+03
 0.19198453E+00 0.74575903E+03
 0.19586287E+00 0.71529681E+03
 0.19981956E+00 0.68326788E+03
 0.20385619E+00 0.65095203E+03
 0.20797436E+00 0.61964624E+03
 0.21217570E+00 0.59058704E+03
 0.21646193E+00 0.56475781E+03
 0.22083476E+00 0.54264337E+03
 0.22529592E+00 0.52409979E+03
 0.22984719E+00 0.50842035E+03
 0.23449039E+00 0.49453552E+03
 0.23922741E+00 0.48121182E+03
 0.24406013E+00 0.46727234E+03
 0.24899045E+00 0.45189740E+03
 0.25402039E+00 0.43486658E+03
 0.25915194E+00 0.41655014E+03
 0.26438716E+00 0.39770078E+03
 0.26972812E+00 0.37924057E+03
 0.27517700E+00 0.36206830E+03
 0.28073606E+00 0.34680563E+03
 0.28640729E+00 0.33357950E+03
 0.29219311E+00 0.32202960E+03
 0.29809579E+00 0.31149454E+03
 0.30411756E+00 0.30121759E+03
 0.31026131E+00 0.29056180E+03
 0.31652883E+00 0.27924573E+03
 0.32292327E+00 0.26743851E+03
 0.32944661E+00 0.25561678E+03
 0.33610201E+00 0.24432051E+03
 0.34289157E+00 0.23395436E+03
 0.34981859E+00 0.22464508E+03
 0.35688522E+00 0.21620198E+03
 0.36409497E+00 0.20824278E+03
 0.37145033E+00 0.20038226E+03
 0.37895393E+00 0.19238341E+03
 0.38660949E+00 0.18427766E+03
 0.39441931E+00 0.17631734E+03
 0.40238729E+00 0.16874753E+03
 0.41051584E+00 0.16171848E+03
 0.41880903E+00 0.15522372E+03
 0.42726934E+00 0.14907729E+03
 0.43590093E+00 0.14309206E+03
 0.44470647E+00 0.13717046E+03
 0.45369038E+00 0.13133119E+03
 0.46285531E+00 0.12570086E+03
 0.47220579E+00 0.12037569E+03
 0.48174477E+00 0.11535871E+03
 0.49147689E+00 0.11059406E+03
 0.50140512E+00 0.10598506E+03
 0.51153439E+00 0.10149162E+03
 0.52186781E+00 0.97140060E+02
 0.53241050E+00 0.92969742E+02
 0.54316562E+00 0.89010262E+02
 0.55413854E+00 0.85234444E+02
 0.56533259E+00 0.81603127E+02
 0.57675338E+00 0.78093452E+02
 0.58840430E+00 0.74717400E+02
 0.60029107E+00 0.71485352E+02
 0.61241806E+00 0.68395569E+02
 0.62478942E+00 0.65437447E+02
 0.63741130E+00 0.62601254E+02
 0.65028751E+00 0.59880550E+02
 0.66342449E+00 0.57271088E+02
 0.67682624E+00 0.54768791E+02
 0.69049937E+00 0.52369705E+02
 0.70444804E+00 0.50069992E+02
 0.71867913E+00 0.47865936E+02
 0.73319703E+00 0.45753929E+02
 0.74800897E+00 0.43730473E+02
 0.76311934E+00 0.41792187E+02
 0.77853578E+00 0.39935799E+02
 0.79426283E+00 0.38158138E+02
 0.81030840E+00 0.36456139E+02
 0.82667732E+00 0.34826836E+02
 0.84337759E+00 0.33267365E+02
 0.86041462E+00 0.31774960E+02
 0.87779653E+00 0.30346949E+02
 0.89552867E+00 0.28980743E+02
 0.91362000E+00 0.27673805E+02
 0.93207598E+00 0.26423681E+02
 0.95090556E+00 0.25228018E+02
 0.97011465E+00 0.24084545E+02
 0.98971266E+00 0.22991091E+02
 0.10097067E+01 0.21945560E+02
 0.10301036E+01 0.20945946E+02
 0.10509136E+01 0.19990320E+02
 0.10721428E+01 0.19076828E+02
 0.10938021E+01 0.18203693E+02
 0.11158978E+01 0.17369204E+02
 0.11384410E+01 0.16571724E+02
 0.11614385E+01 0.15809678E+02
 0.11849015E+01 0.15081555E+02
 0.12088375E+01 0.14385907E+02
 0.12332582E+01 0.13721343E+02
 0.12581712E+01 0.13086524E+02
 0.12835884E+01 0.12480161E+02
 0.13095180E+01 0.11901017E+02
 0.13359727E+01 0.11347910E+02
 0.13629605E+01 0.10819703E+02
 0.13904947E+01 0.10315311E+02
 0.14185839E+01 0.98336954E+01
 0.14472418E+01 0.93738585E+01
 0.14764773E+01 0.89348450E+01
 0.15063047E+01 0.85157442E+01
 0.15367334E+01 0.81156797E+01
 0.15677782E+01 0.77338142E+01
 0.15994486E+01 0.73693466E+01
 0.16317604E+01 0.70215092E+01
 0.16647232E+01 0.66895676E+01
 0.16983536E+01 0.63728180E+01
 0.17326634E+01 0.60705891E+01
 0.17676648E+01 0.57822528E+01
 0.18033748E+01 0.55072184E+01
 0.18398044E+01 0.52449164E+01
 0.18769718E+01 0.49947977E+01
 0.19148883E+01 0.47563343E+01
 0.19535724E+01 0.45290184E+01
 0.19930363E+01 0.43123603E+01
 0.20332992E+01 0.41058903E+01
 0.20743735E+01 0.39091563E+01
 0.21162796E+01 0.37217240E+01
 0.21590302E+01 0.35431764E+01
 0.22026465E+01 0.33731136E+01
 0.22471418E+01 0.32111514E+01
 0.22925382E+01 0.30569212E+01
 0.23388493E+01 0.29100702E+01
 0.23860984E+01 0.27702596E+01
