#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.155869E-02   0.139516E+08   0.139477E+08   0.511220E+05   0.351009E+06   0.131322E+08   0.139471E+08   0.139509E+08   0.139471E+08  -0.241452E+00   0.438964E+07   0.438898E+07   0.140967E+03   0.425706E+02   0.344699E+00  -0.281626E+12
   0.172108E-02   0.136603E+08   0.136564E+08   0.382997E+05   0.281885E+06   0.127024E+08   0.136551E+08   0.136596E+08   0.136551E+08  -0.236396E+00   0.432075E+07   0.432011E+07   0.124032E+03   0.343676E+02   0.341210E+00  -0.251051E+12
   0.190039E-02   0.133953E+08   0.133914E+08  -0.262901E+05   0.226716E+06   0.122839E+08   0.133894E+08   0.133946E+08   0.133894E+08  -0.231795E+00   0.425604E+07   0.425542E+07   0.108471E+03   0.277607E+02   0.338329E+00  -0.223959E+12
   0.209838E-02   0.131526E+08   0.131488E+08  -0.373016E+05   0.182584E+06   0.118733E+08   0.131459E+08   0.131520E+08   0.131459E+08  -0.227580E+00   0.419488E+07   0.419428E+07   0.948492E+02   0.224353E+02   0.335954E+00  -0.199913E+12
   0.231699E-02   0.129283E+08   0.129244E+08  -0.127024E+05   0.147200E+06   0.114681E+08   0.129207E+08   0.129276E+08   0.129207E+08  -0.223681E+00   0.413655E+07   0.413597E+07   0.834661E+02   0.181393E+02   0.333998E+00  -0.178534E+12
   0.255838E-02   0.127183E+08   0.127144E+08  -0.364621E+05   0.118772E+06   0.110658E+08   0.127098E+08   0.127176E+08   0.127098E+08  -0.220029E+00   0.408028E+07   0.407971E+07   0.742568E+02   0.146702E+02   0.332388E+00  -0.159489E+12
   0.282492E-02   0.125189E+08   0.125148E+08  -0.239243E+05   0.958889E+05   0.106648E+08   0.125095E+08   0.125182E+08   0.125095E+08  -0.216560E+00   0.402528E+07   0.402471E+07   0.667196E+02   0.118661E+02   0.331063E+00  -0.142494E+12
   0.311923E-02   0.123265E+08   0.123223E+08  -0.219731E+05   0.774390E+05   0.102628E+08   0.123161E+08   0.123258E+08   0.123161E+08  -0.213212E+00   0.397075E+07   0.397019E+07   0.601844E+02   0.959763E+01   0.329971E+00  -0.127301E+12
   0.344419E-02   0.121379E+08   0.121334E+08  -0.148131E+05   0.625430E+05   0.985765E+07   0.121264E+08   0.121371E+08   0.121264E+08  -0.209927E+00   0.391593E+07   0.391538E+07   0.540942E+02   0.776099E+01   0.329072E+00  -0.113698E+12
   0.380302E-02   0.119499E+08   0.119451E+08  -0.132003E+05   0.505029E+05   0.944712E+07   0.119373E+08   0.119491E+08   0.119373E+08  -0.206654E+00   0.386010E+07   0.385955E+07   0.482987E+02   0.627315E+01   0.328329E+00  -0.101502E+12
