#    L    TT             EE             BB             TE          
   140   0.417558E+04   0.105412E+01   0.369748E-02  -0.427932E+02
   141   0.420463E+04   0.105360E+01   0.375419E-02  -0.430237E+02
   142   0.423377E+04   0.105267E+01   0.381145E-02  -0.432343E+02
   143   0.426294E+04   0.105130E+01   0.386925E-02  -0.434250E+02
   144   0.429197E+04   0.104945E+01   0.392760E-02  -0.435952E+02
   145   0.432094E+04   0.104724E+01   0.398650E-02  -0.437441E+02
   146   0.435007E+04   0.104446E+01   0.404596E-02  -0.438718E+02
   147   0.437891E+04   0.104133E+01   0.410597E-02  -0.439768E+02
   148   0.440769E+04   0.103771E+01   0.416654E-02  -0.440607E+02
   149   0.443648E+04   0.103366E+01   0.422768E-02  -0.441219E+02
   150   0.446505E+04   0.102927E+01   0.428938E-02  -0.441584E+02
   151   0.449355E+04   0.102445E+01   0.435165E-02  -0.441732E+02
   152   0.452182E+04   0.101914E+01   0.441449E-02  -0.441646E+02
   153   0.455003E+04   0.101349E+01   0.447790E-02  -0.441306E+02
   154   0.457807E+04   0.100748E+01   0.454188E-02  -0.440733E+02
   155   0.460597E+04   0.100113E+01   0.460644E-02  -0.439920E+02
   156   0.463356E+04   0.994429E+00   0.467157E-02  -0.438867E+02
   157   0.466114E+04   0.987381E+00   0.473728E-02  -0.437558E+02
   158   0.468849E+04   0.980058E+00   0.480357E-02  -0.436002E+02
   159   0.471560E+04   0.972312E+00   0.487044E-02  -0.434199E+02
   160   0.474254E+04   0.964292E+00   0.493788E-02  -0.432132E+02
   161   0.476932E+04   0.956070E+00   0.500591E-02  -0.429818E+02
   162   0.479585E+04   0.947499E+00   0.507452E-02  -0.427255E+02
   163   0.482229E+04   0.938653E+00   0.514371E-02  -0.424430E+02
   164   0.484834E+04   0.929605E+00   0.521347E-02  -0.421357E+02
   165   0.487428E+04   0.920280E+00   0.528382E-02  -0.418014E+02
   166   0.489997E+04   0.910828E+00   0.535475E-02  -0.414415E+02
   167   0.492548E+04   0.901024E+00   0.542625E-02  -0.410568E+02
   168   0.495058E+04   0.891241E+00   0.549833E-02  -0.406451E+02
   169   0.497543E+04   0.881180E+00   0.557098E-02  -0.402063E+02
   170   0.500002E+04   0.871064E+00   0.564421E-02  -0.397419E+02
   171   0.502420E+04   0.860893E+00   0.571801E-02  -0.392498E+02
   172   0.504804E+04   0.850593E+00   0.579237E-02  -0.387313E+02
   173   0.507146E+04   0.840163E+00   0.586731E-02  -0.381865E+02
   174   0.509462E+04   0.829899E+00   0.594280E-02  -0.376154E+02
   175   0.511743E+04   0.819505E+00   0.601886E-02  -0.370172E+02
   176   0.513975E+04   0.809203E+00   0.609547E-02  -0.363919E+02
   177   0.516171E+04   0.798917E+00   0.617264E-02  -0.357410E+02
   178   0.518326E+04   0.788870E+00   0.625036E-02  -0.350631E+02
   179   0.520439E+04   0.778765E+00   0.632863E-02  -0.343581E+02
   180   0.522524E+04   0.768822E+00   0.640744E-02  -0.336276E+02
   181   0.524560E+04   0.759042E+00   0.648678E-02  -0.328715E+02
   182   0.526553E+04   0.749497E+00   0.656666E-02  -0.320884E+02
   183   0.528497E+04   0.740113E+00   0.664707E-02  -0.312797E+02
   184   0.530406E+04   0.730963E+00   0.672801E-02  -0.304447E+02
   185   0.532273E+04   0.722194E+00   0.680946E-02  -0.295857E+02
   186   0.534060E+04   0.713666E+00   0.689143E-02  -0.286997E+02
   187   0.535835E+04   0.705518E+00   0.697391E-02  -0.277882E+02
   188   0.537560E+04   0.697734E+00   0.705689E-02  -0.268527E+02
   189   0.539229E+04   0.690351E+00   0.714037E-02  -0.258916E+02
   190   0.540884E+04   0.683420E+00   0.722434E-02  -0.249073E+02
   191   0.542453E+04   0.676962E+00   0.730880E-02  -0.238968E+02
   192   0.543987E+04   0.670999E+00   0.739374E-02  -0.228623E+02
   193   0.545464E+04   0.665574E+00   0.747915E-02  -0.218053E+02
   194   0.546906E+04   0.660717E+00   0.756503E-02  -0.207235E+02
   195   0.548291E+04   0.656463E+00   0.765137E-02  -0.196193E+02
   196   0.549619E+04   0.652850E+00   0.773817E-02  -0.184919E+02
   197   0.550904E+04   0.649919E+00   0.782541E-02  -0.173427E+02
   198   0.552140E+04   0.647694E+00   0.791310E-02  -0.161711E+02
   199   0.553326E+04   0.646210E+00   0.800122E-02  -0.149777E+02
   200   0.554462E+04   0.645496E+00   0.808976E-02  -0.137634E+02
   201   0.555541E+04   0.645611E+00   0.817873E-02  -0.125274E+02
   202   0.556571E+04   0.646560E+00   0.826810E-02  -0.112711E+02
